,lat,lon
Vaishnavi Layout,13.0768415,77.5529965
Thomas Town,13.0065573,77.6224071
Manganahalli,12.956567,77.4686853
t.c palya,13.0215083,77.7000989
Ilyas Nagar,12.9070386,77.569309
3rd Phase JP Nagar,12.9064778,77.5959125
kanakapura main road,12.9421348,77.5768444
Mailasandra,12.915939,77.4932278
8th Block Jayanagar,12.9197152,77.5776307
Baba Nagar,12.9725631,77.6384587
Lal Bahadur Shastri Nagar,12.9678103,77.6715478
Puttappa Layout,12.9709603,77.6527383
Bethel Nagar,13.0064,77.6232971
Kirloskar Layout,13.0669639,77.5009307
tc.palya,13.0226152,77.7057327
Dollar Scheme Colony,12.9181537,77.6195361
Kodipalya,12.9004224,77.4871294
DUO Layout,13.116862,77.5730743
Srinivas Colony,12.9639012,77.6472266
Moodalapalya,12.9706816,77.5248635
Subash Nagar,12.9284049,77.5179223
Carmelaram,12.9111998,77.7065133
Hennur Bande,13.0367255,77.6405042
1st Block BEL Layout,13.0703809,77.5554238
Prakruthi Township,13.0308767,77.6521533
Singapura Village,13.0797045,77.5384544
Langford Gardens,12.9631709,77.598018
"Bellandur,",12.9371445,77.6720227
Marasandra,13.1039235,77.7114248
Kalkere Channasandra,13.0388024,77.6810697
Shakthi Nagar,12.993783,77.5360361
south,12.8592275,77.6628413
Rainbow Drive,12.9062184,77.6868318
3rd Block Koramangala,12.9282918,77.6254034
Jakkasandra Extension,12.927699,77.6409796
Ganesha Block,13.0253417,77.6019556
Hegganahalli,13.0035647,77.5127828
Rajanna Layout,12.930774,77.5968998
Nagarbhavi  BDA Complex,12.9793561,77.5105425
Rahat Bagh,12.9914863,77.6613684
Escorts Colony,13.1023262,77.5859726
1A Block Koramangala,12.9243692,77.6242433
NTI Layout,13.0783856,77.558004
Fraser town,13.0027542,77.6157507
Dasappa Layout,13.0828573,77.6491865
CR Layout,12.9116225,77.6388622
Arekempanahalli,12.9446007,77.594691
Chamundi Nagar,13.025212,77.59647
Shettihalli,13.0672443,77.5159428
Gangondanahalli,13.025888,77.4775627
Ullal Road,12.9519538,77.4987844
Hullahalli,12.8244922,77.6175213
Krishna Reddy Layout,12.9704558,77.6952237
Kuvempu Layout,12.9159707,77.6162267
T G extension,13.0010431,77.5841835
2nd Block Koramangala,12.9243692,77.6242433
Devi Nagar,13.0137594,77.5259755
GKW Layout,13.0082322,77.5130081
Gandhi Nagar,12.9771534,77.5800313
rr nagar,12.9314733,77.5290964
Stage-4 Bommanahalli,12.9140788,77.6188862
"Judicial Layout, Kanakapura Road,",12.8616691,77.5301618
Doddabele,12.8979957,77.4770139
Sadahalli,13.2111088,77.647022
Sathya Layout,12.989889,77.7186215
Shanti Nagar,12.9555367,77.5924278
2nd Stage Arekere Mico Layout,12.8905542,77.5941914
Jayamahal,12.9990834,77.5971229
Veer Sandra,12.8389813,77.6750305
RMV Extension Stage 2,13.0222132,77.5781101
Vittal Mallya Road,12.9707315,77.5993624
Dena Bank Colony,12.9600676,77.6447244
Kadabagere,12.9812832,77.5352373
1st Block HBR Layout,13.0204703,77.6241642
High grounds,12.9865133,77.5830766
Guddadahalli,12.9578934,77.5464445
Vasanthpura,12.8952764,77.5505823
Chokkahalli,13.111495,77.8348071
Telecom Layout,12.965528,77.5467051
Vikram Nagar,12.8994971,77.5613308
Virupakshapura,13.0638109,77.5717581
Nrupathunga Nagar,12.8829972,77.5837803
Amrita Nagar,12.8833237,77.6840048
RR Layout,12.9314733,77.5290964
Billapura,12.8410686,77.7887246
Anjana Nagar,12.9735423,77.6476618
Subramanya Nagar,13.0029169,77.5577371
Janatha Colony,12.8694807,77.6960796
Harsha Layout,12.9629824,77.3896189
2nd Block Bel Layout,13.0729675,77.554357
Anekal - Hosur Road,12.8349936,77.6775687
Ramamurthy Nagar Extension,13.0033507,77.5618255
"2nd phase jp nagar, jp nagar",12.9079108,77.5989724
BEML Layout 5th Stage,12.9083587,77.5209058
Kamdhenu Nagar,12.9960265,77.6864573
Narayanappa Garden,12.9647744,77.7511974
Rest House Road,12.9737534,77.6064054
Vijay Nagar,12.9660726,77.6125941
CMH Road,12.9783083,77.6400652
Neelasandra,12.9521793,77.6140918
Yediyur,12.9320536,77.5753519
Upadhyaya Layout,13.0180365,77.5572376
B K Nagar,12.9781925,77.6409527
Vivek Nagar,12.9529247,77.6231374
"Banashankari 6th stage , 2nd block",12.8849238,77.5154846
KG Halli,13.0568608,77.5327052
Cubbon Road,12.9761344,77.6121864
Veerabhadra Nagar,12.9682085,77.6823937
6th Block Jayanagar,12.9307493,77.5782213
Pampa Extension,13.0544256,77.5991953
Koramangala Industrial Layout,12.9332863,77.6147149
Agrahara Dasarahalli,12.9790631,77.5406823
Indira Nagar Stage 2,12.9732913,77.6404672
Hommadevanahalli,12.8443528,77.5981019
BTM Layout 2nd Stage 1st Phase,12.9140082,77.607945
T C Palya main Road,13.0215083,77.7000989
1 Immadihalli,12.9663991,77.762046
Navodaya Nagar,12.8823286,77.5828765
Guni Agrahara,13.0980951,77.525062
Shankarapuram,12.9528538,77.5703309
Shetty Halli,13.0502833,77.525675
Bilal Nagar,12.9449109,77.5948763
Krishna Nagar,12.8775024,77.5845488
Kanakapura Main Road,12.9421348,77.5768444
Suryanagar,12.7930947,77.7000382
Duvasapalya,12.9230351,77.4959631
BCMC Layout,12.8766824,77.550238
Kengeri Satellite Town Stage II,12.936391,77.492526
Uday Nagar,13.0770305,77.5922254
Sri Sai Layout,13.0395959,77.64454
Devara Jeevanahalli,13.0154727,77.6057284
SK Garden,13.0045682,77.6069927
"Electronic city Phase 1,",12.8463512,77.6690975
Naidu Layout,13.0332707,77.5730946
Sugama Layout,13.0022573,77.5531469
Bandepalya,12.8974131,77.6391514
poornaprajna layout,12.9088014,77.5358746
Annapurneshwari Nagar,12.9770585,77.6318947
RPC layout,12.9609115,77.5358407
"HSR Layout 7th sector,",12.920456,77.6444991
Bettadasanapura,12.8415691,77.6319433
Gulimangala,12.8492767,77.7001531
Konena Agrahara,12.9586061,77.6623373
Raghavendra Layout,12.9373551,77.5424331
Bhattarahalli,13.0258004,77.714279
Bande Nallasandra,12.791765,77.6515627
HAL Layout,12.9767102,77.6547468
Vidya Nagar,12.9842424,77.5865075
SHANTHINAGAR,12.9515296,77.6017794
Queens Road,13.0286549,77.5719067
Koppa,12.801983,77.6276493
RR Nagar,12.9314733,77.5290964
Jagadish Nagar,12.9682545,77.6648221
Phase 1 Kammasandra,13.079198,77.7136366
Deepanjali Nagar,12.9520333,77.5369961
Konappana Agrahara,12.8528618,77.668169
Rajasree Layout,13.0686085,77.5562896
Vinayaka Layout,12.9688091,77.7521212
Bharathnagar,12.9801263,77.4784076
5th Block Jayanagar,12.9196037,77.583381
"Jayanagar,",12.9292731,77.5824229
Millers Road,12.9957369,77.6006929
2nd Block Hbr Layout,13.0234478,77.6282108
Madavara,13.0574214,77.4728055
Dwaraka Nagar,13.1208483,77.6186871
Banashankari 6th Stage,12.8849238,77.5154846
Brindavan Layout,12.9224224,77.6775005
Chambenahalli,12.8886379,77.7662379
Dodda Banaswadi,13.0133522,77.6497417
PC Palaya,12.993425,77.7005156
Soppahalli,12.7483443,77.6763175
Jayanti Nagar,13.0034478,77.5673384
7th Block Koramangala,12.9364846,77.6134783
Prakash Nagar,12.9948984,77.5635409
Bharat Nagar,12.9781739,77.5695603
Chikku Lakshmaiah Layout,12.9350706,77.6116041
Gnana Bharathi,12.9492666,77.5063543
Pillahalli,13.1025289,77.4287996
Ashok Nagar,12.9694359,77.6092319
Gollarahatti,12.9893002,77.4745667
Venkateswara Nagar,12.9724579,77.6500589
Chikkagubbi,13.0823779,77.661558
Banashankari 2 nd Stage,12.8933259,77.5219378
Nanjappa Layout Vidyaranyapura,13.0684259,77.557228
Rajapura,12.7831791,77.6631594
Raja Rajeshwari Nagara,12.9299784,77.5206938
Govindapura,13.0341085,77.6198029
Thirupalya,12.821203,77.6660463
"Haralur Road,",12.9018012,77.6641767
Adugodi,12.9440234,77.6088867
RK Colony,13.0274554,77.5772913
Balepet,12.9731178,77.5759323
RMC YARD,13.0243692,77.5482953
"Panathur Road,",12.936938,77.6950878
Shanthi Pura,13.0198837,77.6841746
Viviani Road,13.0036422,77.6156972
Sampangirama Nagar,12.9664555,77.5922609
AECS LAYOUT A-BLOCK Singasandra,12.8814296,77.6525387
Banashankari Stage I,12.8849238,77.5154846
4th Block HBR Layout,13.0370143,77.6238732
Michael Palaya,12.9844718,77.6467341
RBI Layout,12.8884396,77.580509
Harohalli,13.1305028,77.5804603
"Electronic city phase 1,",12.8463512,77.6690975
vinayakanagar,12.9645584,77.7541058
Richmond Road,12.9684808,77.614415
Postal Colony,13.0351918,77.5771223
"Gubbi Cross, Hennur Main Road",13.0843481,77.6541567
Sabari Nagar,12.9716694,77.6059056
Ashraya Layout,12.9858241,77.7054539
Infantry Road,12.9810155,77.6021329
Ayappa Nagar,13.0365347,77.5620534
Billamaranahalli,13.1503834,77.6374474
"Banasawadi,",13.0199271,77.6537003
Gayathri Nagar,13.0007574,77.5605988
Old Mangammanapalya Road,12.899926,77.6358309
"Kanakapura Road,",12.8591407,77.5284991
Hal old airport road,12.9610529,77.6383031
Bapuji Nagar,12.9556699,77.5402492
Allalasandra,13.0910132,77.5863933
Versova Layout,12.9838691,77.6684718
Chikkajala,13.1679234,77.6372834
Udayagiri,13.0024645,76.1042448
Rahmath Nagar,13.0173076,77.5917019
Chikkanahalli,12.786065,77.7883561
Halanayakanahalli,12.8966653,77.6855489
Park View Layout,12.9728389,77.6168178
Xavier Layout,12.9646019,77.6127125
Air View Colony,12.9547408,77.6612636
Arishinakunte,13.0784775,77.4225682
mvj engineering college,12.984887,77.7622795
Annaiah Reddy Layout,12.9797385,77.624122
manyata,13.0196646,77.6550064
LIC Colony,12.9091489,77.5853379
Wheelers Road,12.9995759,77.6230526
MM Layout,13.0004929,77.6171862
"Electronic City Phase 1,",12.8463512,77.6690975
Hanuman Nagar,12.9700949,77.6561147
Subhash Nagar,12.9811053,77.5674218
Jogupalya,12.9746882,77.628026
Duddanahalli,13.2737774,77.6030366
"Beml layout, Rajarajeshwari nagar",12.9196528,77.5202202
Gulakamale,12.8037601,77.5284309
Jakkasandra,12.9229019,77.6366093
Kanakapura main  Road,12.9421348,77.5768444
Sindhi Colony,12.9946318,77.6165816
Church Street,12.9746938,77.6525547
Prasanna layout Herohalli,12.9974648,77.4970838
Tilak Nagar,12.9275876,77.5947124
Abshot Layout,12.9930728,77.5866428
