,lat,lon
Giri Nagar,12.9168572,77.5860216
Singasandra,12.8810223,77.6490068
AECS Layout,12.964118,77.7130369
Mallasandra,13.0569525,77.5209467
Begur,12.8633887,77.6130112
Malleshpalya,12.9744129,77.6743533
Kodathi,12.8905129,77.7133427
Kaggalipura,12.855621,77.7246606
Basavanna Nagar,12.988867,77.7204442
6th Phase JP Nagar,12.9135843,77.5943211
Thigalarapalya,13.0170955,77.4829741
T.C PALYA,13.0215083,77.7000989
Muneshwara Nagar,13.0155777,77.6109066
Bull Temple Road,12.9455021,77.5678472
Bommasandra,12.8349936,77.6775687
Prashanth Nagar,12.9776188,77.5313254
Suragajakkanahalli,12.7361919,77.6654422
Ardendale,13.0261316,77.7664705
Harlur,12.9058923,77.675465
Sampigehalli,13.0816353,77.6182669
RMV,13.0360109,77.5695288
Bagalur Main Road,13.1303309,77.6665846
Kodihalli,12.9628452,77.6479018
Narayanapura,13.0716969,77.6193949
Hennur,13.037077,77.6413572
5th Phase JP Nagar,12.9130061,77.5933649
Gopalapura,12.9806131,77.5581149
Jalahalli,13.0394104,77.5197351
Mahadevpura,12.9968412,77.6928386
Anekal,12.8345242,77.6774952
"Hoodi Circle,",12.992226,77.7164207
Sompura,12.8778283,77.4972385
Dodda Nekkundi,12.9686859,77.6966093
K N Extension,13.0089634,77.5711385
Hosur Road,12.9169112,77.6230231
Battarahalli,13.011473,77.7099343
Gokula Extension,13.0058913,77.5791562
Kamakshipalya,12.9823617,77.5226376
Sultan Palaya,12.935016,77.611357
Ambalipura,12.9173303,77.667161
Samethanahalli,12.979363,77.7907328
Brookefield,12.9652094,77.717936
Yelenahalli,12.8669074,77.6159019
Richmond Town,12.963555,77.6015856
Suddaguntepalya,12.931045,77.6098888
Vittasandra,12.8699063,77.6272386
Thippasandra,12.8744383,77.5579029
Chikkabidarakallu,13.0552285,77.475828
Defence Colony,12.976171,77.6435315
2nd Stage Nagarbhavi,12.9677849,77.5118732
Vidyaranyapura,13.0766407,77.5577315
Amruthahalli,13.0864037,77.6041868
Kodigehalli,13.0031666,77.7272835
Ring Road Nagarbhavi,12.9588588,77.5167104
NS Palya,12.9087935,77.6045543
Subramanyapura,12.8963963,77.5377864
Basavangudi,12.9421868,77.5742576
Kenchenahalli,13.1200124,77.5849342
3rd Block Hrbr Layout,13.0215052,77.640534
Bank Avenue,13.0225678,77.6527986
Surabhi Layout,13.0930374,77.6002443
Banjara Layout,13.0382854,77.6652622
Omkar Nagar,12.89,77.5973052
Kereguddadahalli,13.0787974,77.5164773
Maragondanahalli,13.0376489,77.6922232
Silk Board,12.9168583,77.6222833
Kada Agrahara,12.8608726,77.7594187
Kambipura,12.8822711,77.4606466
BHEL Layout,12.9184375,77.5092496
Medahalli,13.0278454,77.7206079
Kashi Nagar,13.009554,77.5647137
Sector 7 HSR Layout,12.9095089,77.6274591
Ittamadu,12.9250047,77.5444573
Rajiv Nagar,13.0189644,77.5443026
Gattahalli,12.8685628,77.7026913
Arekere,12.8872086,77.5960493
Mico Layout,12.9128289,77.6028358
7th Block Jayanagar,12.9254648,77.5775504
2nd Phase JP Nagar,12.9079108,77.5989724
Kammanahalli,13.0148544,77.6382029
K G Colony,13.0127447,77.6619543
Herohalli,12.9912345,77.4870119
HRBR Layout,13.0234478,77.6282108
Ashwini layout,12.9396583,77.6288969
Marathalli bridge,12.9566588,77.7069486
Dooravani Nagar,13.0080094,77.6833497
JCR Layout,12.933134,77.7043284
Nehru Nagar,12.9869634,77.5755584
Kanakapura,12.9256512,77.5769588
Venkatapura,12.8839153,77.47028
Konanakunte,12.8792861,77.5697529
Hosapalya,12.8419732,77.482913
Doddagubbi,13.0720681,77.6683289
Sector 6 HSR Layout,12.9143405,77.631707
ITI Layout,12.9665733,77.5016708
R.T. Nagar,13.0333764,77.5886107
Tumkur Road,13.0283657,77.5408001
Vasanthapura,12.8982552,77.5498322
Hosahalli,12.9690686,77.5427797
GM Palaya,12.974779,77.6654084
Jalahalli East,13.0578317,77.5462216
Hosakerehalli,12.9301881,77.5378332
Huskur,12.8607674,77.7071019
Shanthala Nagar,12.9714173,77.5994394
Teachers Colony,12.9190507,77.6352458
Srinivasa Nagar,17.7342627,83.2783044
Kodichikkanahalli,12.8966996,77.6124269
Ambedkar Colony,12.9708334,77.6951966
Varthur Road,12.9566433,77.7344471
Avalahalli,12.9437456,77.5402044
Prakruthi Nagar,13.0978966,77.6157367
Sadaramangala,12.9989026,77.7375086
Anjanapura,12.8601312,77.5540587
Abbigere,13.0742739,77.5288653
Tindlu,13.2338969,77.5947061
B Narayanapura,12.9980556,77.6848622
Green Garden Layout,12.8727237,77.6451233
Gubbalala,12.8856635,77.5416809
Dairy Circle,12.9371279,77.6017492
Parappana Agrahara,12.8802089,77.6658442
Narayana Nagar 1st Block,12.9096941,77.5866067
KSRTC Layout,12.9128386,77.5934931
Cunningham Road,12.9884255,77.5938978
New Gurappana Palya,12.9242342,77.6041393
Palanahalli,13.1163349,77.6146643
Kudlu,12.8889126,77.6555716
Shivanagar,12.9915953,77.5510373
V.V Puram,12.9538359,77.5800553
Sector 3 HSR Layout,12.9090825,77.6414091
Banashankari Stage VI,12.8849238,77.5154846
HMT Layout,13.0847453,77.5625432
Cox Town,12.9954832,77.6239259
Kalasipalya,12.9584549,77.5808236
Kathriguppe,12.925021,77.5508875
HBR Layout,13.031992,77.6280789
Yelahanka New Town,13.0978039,77.5811889
Sahakara Nagar,13.0621474,77.5800614
manyata park,13.0551983,77.62124
Rachenahalli,13.0588586,77.6232576
Belathur,13.0040142,77.757116
Sadashiva Nagar,13.0110193,77.5808641
Yelachenahalli,12.897971,77.5700846
Shirdi Sai Layout,13.0668492,77.6394164
Sathya Sai Layout,12.9327018,77.7039591
Indiranagar HAL 2nd Stage,12.9698439,77.6411842
Vishwanatha Nagenahalli,13.0395765,77.6048698
Bendiganahalli,12.8125911,77.7377299
